player_id,thumb_url,name,player_url,jersey,position_group,bat_throw,height,weight,dob,status,is_minors,is_il,is_active_roster,is_40_man,slug
607455,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/607455/headshot/silo/current,Anthony Banda,/player/607455,43,Pitchers,L/L,"6' 2""",221,08/10/1993,ACTIVE,False,False,True,True,anthony-banda
676263,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/676263/headshot/silo/current,Jack Dreyer,/player/676263,86,Pitchers,R/L,"6' 2""",205,02/27/1999,ACTIVE,False,False,True,True,jack-dreyer
607192,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/607192/headshot/silo/current,Tyler Glasnow,/player/607192,31,Pitchers,L/R,"6' 8""",225,08/23/1993,ACTIVE,False,False,True,True,tyler-glasnow
477132,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/477132/headshot/silo/current,Clayton Kershaw,/player/477132,22,Pitchers,L/L,"6' 4""",225,03/19/1988,ACTIVE,False,False,True,True,clayton-kershaw
808963,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/808963/headshot/silo/current,Roki Sasaki,/player/808963,11,Pitchers,R/R,"6' 2""",187,11/03/2001,ACTIVE,False,False,True,True,roki-sasaki
686218,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/686218/headshot/silo/current,Emmet Sheehan,/player/686218,80,Pitchers,R/R,"6' 5""",220,11/15/1999,ACTIVE,False,False,True,True,emmet-sheehan
605483,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/605483/headshot/silo/current,Blake Snell,/player/605483,7,Pitchers,L/L,"6' 4""",225,12/04/1992,ACTIVE,False,False,True,True,blake-snell
595014,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/595014/headshot/silo/current,Blake Treinen,/player/595014,49,Pitchers,R/R,"6' 5""",225,06/30/1988,ACTIVE,False,False,True,True,blake-treinen
681911,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/681911/headshot/silo/current,Alex Vesia,/player/681911,51,Pitchers,L/L,"6' 1""",209,04/11/1996,ACTIVE,False,False,True,True,alex-vesia
680736,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/680736/headshot/silo/current,Justin Wrobleski,/player/680736,70,Pitchers,L/L,"6' 1""",194,07/14/2000,ACTIVE,False,False,True,True,justin-wrobleski
808967,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/808967/headshot/silo/current,Yoshinobu Yamamoto,/player/808967,18,Pitchers,R/R,"5' 10""",176,08/17/1998,ACTIVE,False,False,True,True,yoshinobu-yamamoto
660271,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/660271/headshot/silo/current,Shohei Ohtani,/player/660271,17,Unicorns,L/R,"6' 3""",210,07/05/1994,ACTIVE,False,False,True,True,shohei-ohtani
666163,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/666163/headshot/silo/current,Ben Rortvedt,/player/666163,47,Catchers,L/R,"5' 9""",210,09/25/1997,ACTIVE,False,False,True,True,ben-rortvedt
687221,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/687221/headshot/silo/current,Dalton Rushing,/player/687221,68,Catchers,L/R,"5' 11""",220,02/21/2001,ACTIVE,False,False,True,True,dalton-rushing
669257,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669257/headshot/silo/current,Will Smith,/player/669257,16,Catchers,R/R,"5' 10""",195,03/28/1995,ACTIVE,False,False,True,True,will-smith
605141,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/605141/headshot/silo/current,Mookie Betts,/player/605141,50,Infielders,R/R,"5' 10""",180,10/07/1992,ACTIVE,False,False,True,True,mookie-betts
669242,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669242/headshot/silo/current,Tommy Edman,/player/669242,25,Infielders,S/R,"5' 9""",193,05/09/1995,ACTIVE,False,False,True,True,tommy-edman
518692,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/518692/headshot/silo/current,Freddie Freeman,/player/518692,5,Infielders,L/R,"6' 4""",220,09/12/1989,ACTIVE,False,False,True,True,freddie-freeman
571771,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/571771/headshot/silo/current,Enrique Hernández,/player/571771,8,Infielders,R/R,"5' 10""",195,08/24/1991,ACTIVE,False,False,True,True,enrique-hernandez
808975,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/808975/headshot/silo/current,Hyeseong Kim,/player/808975,6,Infielders,L/R,"5' 10""",175,01/27/1999,ACTIVE,False,False,True,True,hyeseong-kim
571970,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/571970/headshot/silo/current,Max Muncy,/player/571970,13,Infielders,L/R,"5' 10""",215,08/25/1990,ACTIVE,False,False,True,True,max-muncy
500743,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/500743/headshot/silo/current,Miguel Rojas,/player/500743,72,Infielders,R/R,"5' 11""",188,02/24/1989,ACTIVE,False,False,True,True,miguel-rojas
669743,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669743/headshot/silo/current,Alex Call,/player/669743,12,Outfielders,R/R,"5' 11""",189,09/27/1994,ACTIVE,False,False,True,True,alex-call
681909,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/681909/headshot/silo/current,Justin Dean,/player/681909,75,Outfielders,R/R,"5' 8""",185,12/06/1996,ACTIVE,False,False,True,True,justin-dean
606192,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/606192/headshot/silo/current,Teoscar Hernández,/player/606192,37,Outfielders,R/R,"6' 0""",215,10/15/1992,ACTIVE,False,False,True,True,teoscar-hernandez
681624,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/681624/headshot/silo/current,Andy Pages,/player/681624,44,Outfielders,R/R,"6' 1""",212,12/08/2000,ACTIVE,False,False,True,True,andy-pages
