date,opp_name,home_away,result,placement,game_start
Aug 13,Milwaukee Brewers,home,loss,last,4-5
Aug 14,Milwaukee Brewers,home,win,last,3-1
Aug 15,Milwaukee Brewers,home,loss,last,1-4
Aug 16,Milwaukee Brewers,home,loss,last,2-6
Aug 17,Colorado Rockies,away,win,last,11-5
Aug 18,Colorado Rockies,away,win,last,7-6
Aug 19,Colorado Rockies,away,win,last,6-4
Aug 21,Pittsburgh Pirates,home,win,last,5-4
Aug 22,Pittsburgh Pirates,home,win,last,4-3
Aug 23,Pittsburgh Pirates,home,win,last,4-0
Jul 18,New York Yankees,away,--,next,Postponed
Aug 25,Atlanta Braves,away,--,next,4:15 PM
Aug 26,Atlanta Braves,away,--,next,4:15 PM
Aug 27,Atlanta Braves,away,--,next,4:15 PM
Aug 28,Detroit Tigers,away,--,next,3:40 PM
Aug 29,Detroit Tigers,away,--,next,10:10 AM
Aug 30,Detroit Tigers,away,--,next,10:40 AM
Sep 1,St. Louis Cardinals,home,--,next,7:10 PM
Sep 2,St. Louis Cardinals,home,--,next,7:10 PM
Sep 3,St. Louis Cardinals,home,--,next,7:10 PM
