gm,gtm,game_date,year,home_away,opp,r,ra,run_diff,result,wins,losses,record,win_pct,gb,rank,attendance,time_minutes,time,day_night,game_day,date,tm,inn,win,loss,save,cli,weekday
1,1.0,2026-03-26,2026,home,Arizona Diamondbacks,8,2,6.0,W,1,0,1-0,1.0,-1.0,1,0,0.0,00:00:00,N,Thursday,,,,,,,,
2,2.0,2026-03-27,2026,home,Arizona Diamondbacks,5,4,1.0,W,2,0,2-0,1.0,-1.5,1,0,0.0,00:00:00,N,Friday,,,,,,,,
3,3.0,2026-03-28,2026,home,Arizona Diamondbacks,3,2,1.0,W,3,0,3-0,1.0,-2.5,1,0,0.0,00:00:00,N,Saturday,,,,,,,,
4,4.0,2026-03-30,2026,home,Cleveland Guardians,2,4,-2.0,L,3,1,3-1,0.75,-1.5,1,0,0.0,00:00:00,N,Monday,,,,,,,,
5,5.0,2026-03-31,2026,home,Cleveland Guardians,4,1,3.0,W,4,1,4-1,0.8,-2.5,1,0,0.0,00:00:00,N,Tuesday,,,,,,,,
6,6.0,2026-04-01,2026,home,Cleveland Guardians,1,4,-3.0,L,4,2,4-2,0.667,-1.0,1,0,0.0,00:00:00,N,Wednesday,,,,,,,,
7,7.0,2026-04-03,2026,away,Washington Nationals,13,6,7.0,W,5,2,5-2,0.714,-2.0,1,0,0.0,00:00:00,N,Friday,,,,,,,,
8,8.0,2026-04-04,2026,away,Washington Nationals,10,5,5.0,W,6,2,6-2,0.75,-2.5,1,0,0.0,00:00:00,N,Saturday,,,,,,,,
9,9.0,2026-04-05,2026,away,Washington Nationals,8,6,2.0,W,7,2,7-2,0.778,-2.5,1,0,0.0,00:00:00,N,Sunday,,,,,,,,
10,10.0,2026-04-06,2026,away,Toronto Blue Jays,14,2,12.0,W,8,2,8-2,0.8,-3.0,1,0,0.0,00:00:00,N,Monday,,,,,,,,
11,11.0,2026-04-07,2026,away,Toronto Blue Jays,4,1,3.0,W,9,2,9-2,0.818,-4.0,1,0,0.0,00:00:00,N,Tuesday,,,,,,,,
12,12.0,2026-04-08,2026,away,Toronto Blue Jays,3,4,-1.0,L,9,3,9-3,0.75,-3.0,1,0,0.0,00:00:00,N,Wednesday,,,,,,,,
13,13.0,2026-04-10,2026,home,Texas Rangers,8,7,1.0,W,10,3,10-3,0.769,-2.5,1,0,0.0,00:00:00,N,Friday,,,,,,,,
14,14.0,2026-04-11,2026,home,Texas Rangers,6,3,3.0,W,11,3,11-3,0.786,-3.0,1,0,0.0,00:00:00,N,Saturday,,,,,,,,
1,,2025-03-18,2025,away,CHC,4,1,,W,1,0,1-0,1.0,0.5,1,42365,,2:38,N,Tuesday,Mar 18,LAD,,Yamamoto,Brown,Scott,.97,Tuesday
2,,2025-03-19,2025,away,CHC,6,3,,W,2,0,2-0,1.0,1.0,1,42367,,2:45,N,Wednesday,Mar 19,LAD,,Knack,Steele,Vesia,.95,Wednesday
3,,2025-03-27,2025,home,DET,5,4,,W,3,0,3-0,1.0,1.0,1,53595,,2:32,D,Thursday,Mar 27,LAD,,Snell,Skubal,Treinen,.98,Thursday
4,,2025-03-28,2025,home,DET,8,5,,W,4,0,4-0,1.0,1.0,1,52029,,2:52,N,Friday,Mar 28,LAD,10,GarcÃ­a,Brieske,,.98,Friday
5,,2025-03-29,2025,home,DET,7,3,,W,5,0,5-0,1.0,1.0,1,51788,,2:32,N,Saturday,Mar 29,LAD,,Banda,Olson,,1.02,Saturday
6,,2025-03-31,2025,home,ATL,6,1,,W,6,0,6-0,1.0,0.5,1,50816,,2:26,N,Monday,Mar 31,LAD,,Glasnow,Holmes,,1.07,Monday
7,,2025-04-01,2025,home,ATL,3,1,,W,7,0,7-0,1.0,0.5,1,50182,,2:31,N,Tuesday,Apr 1,LAD,,Banda,Sale,Scott,1.10,Tuesday
8,,2025-04-02,2025,home,ATL,6,5,,W,8,0,8-0,1.0,0.5,1,50281,,2:44,N,Wednesday,Apr 2,LAD,,Dreyer,Iglesias,,1.10,Wednesday
9,,2025-04-04,2025,away,PHI,2,3,,L,8,1,8-1,0.889,0.5,1,43024,,2:29,N,Friday,Apr 4,LAD,,Luzardo,Yamamoto,Romano,1.13,Friday
10,,2025-04-05,2025,away,PHI,3,1,,W,9,1,9-1,0.9,1.0,1,44404,,2:26,D,Saturday,Apr 5,LAD,,Banda,Nola,Scott,1.13,Saturday
11,,2025-04-06,2025,away,PHI,7,8,,L,9,2,9-2,0.818,0.0,1,44098,,2:56,D,Sunday,Apr 6,LAD,,Kerkering,Treinen,Alvarado,1.14,Sunday
